title,doi,wingspan_m,weight_g,tandem,ai,type,DataMissed,wingspan_filled,weight_filled,wingspan,weight,0=机构结构，1=动力学，2=气动，3=控制，4=系统/任务集成,
"Development of flapping wing Micro Air Vehicles ""Npu-sentinel""",,0.4,40,0,0,0,0,0.4,40,0.4,40,,
BionicOpter (FESTO dragonfly-inspired flapping-wing robot),10.1155/2022/1727965,0.63,175,1,0,0,0,0.63,175,0.63,175,,
"Design, fabrication, and characterization of multifunctional wings to harvest solar energy in flapping wing air vehicles (Robo Raven ornithopter)",10.1088/0964-1726/24/6/065042,0.885,160,0,0,0,0,0.885,160,0.885,160,,
The design and micromachining of an electromagnetic MEMS flapping-wing micro air vehicle,10.1007/s00542-011-1388-6,144,0.144,0,0,0,0,144,0.144,144,0.144,,
Sizing process and manufacturing of optimal flapping wing micro air vehicle,10.2514/6.2019-3239,0.48,101.82,0,0,0,1,0.48,16.196,0.48,-1,,
A review of actuation and power electronics options for flapping-wing robotic insects,10.1109/ROBOT.2008.4543300,0.079,1,0,0,0,2,0.133,1,-1,1,,
Low-voltage electromagnetic actuators for flapping-wing micro aerial vehicles,10.1016/j.sna.2017.08.027,0.111,2.4092,0,0,0,2,0.167,2.409,-1,2.4092,,
Elastic element integration for improved flapping-wing micro air vehicle performance,10.1109/TRO.2012.2218936,0.121,3,0,0,0,2,0.175,3,-1,3,,
Design of an active flapping wing mechanism and a micro aerial vehicle using a rotary actuator,10.1016/j.mechmachtheory.2009.01.007,0.125,3.2,0,0,0,2,0.186,3.2,-1,3.2,,
Design of an Active Flapping Wing Mechansim and a Micro Aerial Vehicle using a single Rotary Actuator,,0.125,3.2,0,0,0,2,0.179,3.2,-1,3.2,,
Is clicking mechanism good for flapping wing micro aerial vehicle?,10.1117/12.2009627,0.125,3.26,0,0,0,2,0.186,3.26,-1,3.26,,
"""Clicking"" compliant mechanism for flapping-wing micro aerial vehicle",10.1109/IROS.2012.6385809,0.13,3.58,0,0,0,2,0.202,3.58,-1,3.58,,
Efficient resonant drive of flapping-wing robots,10.1109/IROS.2009.5354725,0.157,5.8,0,0,0,2,0.227,5.8,-1,5.8,,
